block_group_id,income,k12_pop,poverty_rate,total_pop,%Christian,%first_gen,state,county,lat,lon
421010028021,131136,113,0.0,1632,36.3,35.0,42,101,39.927547983285315,-75.1603645236127
421010028022,78488,245,0.0,2220,36.3,35.0,42,101,39.92773182320564,-75.16384522625097
421010028023,71250,50,0.0,1868,36.3,35.0,42,101,39.93098139910659,-75.15991563120159
421010029001,116269,139,0.0,1408,36.3,35.0,42,101,39.92811498351497,-75.16705321937823
421010029002,74350,0,0.0,408,36.3,35.0,42,101,39.9303517368617,-75.1673311111505
421010029003,85674,57,0.0,2075,36.3,35.0,42,101,39.93216890111205,-75.16434104151382
421010030011,-666666666,14,0.0,903,36.3,35.0,42,101,39.93004547961011,-75.16987908969806
421010030012,68750,0,0.0,425,36.3,35.0,42,101,39.92818813052912,-75.1700469042408
421010030013,87917,72,0.0,677,36.3,35.0,42,101,39.92845553879894,-75.17215257488368
421010030014,52236,33,0.0,954,36.3,35.0,42,101,39.92872635873741,-75.17422722038673
421010030015,53519,36,0.0,472,36.3,35.0,42,101,39.9304568056662,-75.17304799855124
421010030021,79647,72,0.0,1018,36.3,35.0,42,101,39.93310757081313,-75.16922627911799
421010030022,47708,119,0.0,780,36.3,35.0,42,101,39.93340038474452,-75.1716147097589
421010030023,110104,165,0.0,749,36.3,35.0,42,101,39.93303839171207,-75.17357746976133
421010030024,75561,75,0.0,624,36.3,35.0,42,101,39.931404050869624,-75.17067089709325
421010031001,97692,306,0.0,1464,36.3,35.0,42,101,39.934070801647785,-75.17676760373796
421010031002,83295,126,0.0,774,36.3,35.0,42,101,39.93140369706824,-75.17555099793272
421010031003,-666666666,18,0.0,251,36.3,35.0,42,101,39.929675843393234,-75.17673622489923
421010031004,-666666666,0,0.0,557,36.3,35.0,42,101,39.9303520971548,-75.17973356419476
421010031005,78499,272,0.0,1001,36.3,35.0,42,101,39.93194668901914,-75.17803554955617
421010031006,-666666666,162,0.0,970,36.3,35.0,42,101,39.93348810667377,-75.18031431308884
421010032001,92883,105,0.0,731,36.3,35.0,42,101,39.93481617564023,-75.18253570178771
421010032002,47692,31,0.0,642,36.3,35.0,42,101,39.93298552891103,-75.1829332596482
421010032003,36250,84,0.0,717,36.3,35.0,42,101,39.931151186685284,-75.18332833482741
421010032004,67963,116,0.0,693,36.3,35.0,42,101,39.93483655645645,-75.18631069804601
421010032005,56154,34,0.0,431,36.3,35.0,42,101,39.93158196480747,-75.18667073042145
